cpn60 UT,I-I(E/AI)AI,I-IA,I-IB,I-IC,I-IF,I-IIA,I-IIB,I-IIIB,I-IP,I-IVB,I-VB,II-IA,II-IC,IV-IA,IV-IC,IV-IE,IX-IA,IX-IB,IX-IJ,KJ939976.1_1,KJ939983.1_2,KJ939984.1_3,KJ939985.1_4,KJ939986.1_5,KJ939987.1_6,KJ939988.1_7,KJ939990.1_8,KJ939991.1_9,KJ939992.1_10,KJ939994.1_11,KJ939995.1_12,KJ939996.1_13,KJ939997.1_14,KJ939998.1_15,KJ939999.1_16,KJ940004.1_17,KJ940006.1_18,KJ940009.1_19,KJ940011.1_20,KJ940012.1_21,KJ940013.1_22,KJ940014.1_23,KJ940015.1_24,KJ940016.1_25,KJ940017.1_26,KJ940018.1_27,V-IC,VII-IA,X-IA,X-IC,X-IF,XI-ID,XII-I(B/C)B,XII-IA,XIII-(A/I)I,XIV-IA,XIV-IC,XV-IB
I-VB,0.82,0.85,0.94,0.72,0.75,0.67,0.79,0.82,0.74,0.69,1.00,0.04,0.04,0.18,0.25,0.13,0.27,0.17,0.27,0.94,0.85,0.85,0.85,0.85,0.94,0.94,0.15,0.15,0.15,0.72,0.75,0.72,0.85,0.85,0.85,0.94,0.13,0.85,0.85,0.79,0.94,0.94,0.94,0.94,0.94,0.94,0.15,0.21,0.14,0.19,0.23,0.21,0.30,0.13,0.23,0.00,0.00,0.08
II-IA,0.08,0.04,0.04,0.09,0.08,0.04,0.04,0.04,0.09,0.08,0.04,1.00,0.60,0.04,0.08,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.11,0.11,0.09,0.08,0.09,0.04,0.04,0.04,0.04,0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.08,0.14,0.14,0.14,0.08,0.13,0.09,0.08,0.17,0.17,0.55
II-IC,0.07,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.08,0.07,0.04,0.60,1.00,0.04,0.11,0.04,0.16,0.12,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.14,0.14,0.14,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.14,0.11,0.12,0.13,0.17,0.11,0.08,0.08,0.07,0.19,0.19,0.68
IV-IA,0.26,0.18,0.17,0.27,0.22,0.09,0.13,0.13,0.33,0.22,0.18,0.04,0.04,1.00,0.40,0.86,0.29,0.14,0.24,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.24,0.24,0.24,0.27,0.22,0.27,0.18,0.18,0.18,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.24,0.27,0.30,0.31,0.45,0.36,0.32,0.19,0.24,0.18,0.18,0.08
IV-IC,0.29,0.21,0.24,0.30,0.25,0.12,0.21,0.20,0.35,0.24,0.25,0.08,0.11,0.40,1.00,0.36,0.41,0.22,0.40,0.24,0.21,0.21,0.21,0.21,0.24,0.24,0.26,0.26,0.26,0.30,0.25,0.30,0.21,0.21,0.21,0.24,0.17,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.25,0.37,0.43,0.42,0.29,0.26,0.17,0.26,0.13,0.09,0.12
IV-IE,0.22,0.14,0.13,0.23,0.22,0.09,0.13,0.13,0.28,0.22,0.13,0.09,0.04,0.86,0.36,1.00,0.24,0.09,0.24,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.28,0.28,0.28,0.23,0.22,0.23,0.14,0.14,0.14,0.13,0.19,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.28,0.31,0.30,0.31,0.45,0.36,0.32,0.19,0.24,0.18,0.18,0.08
IX-IA,0.22,0.28,0.27,0.23,0.18,0.18,0.23,0.22,0.29,0.18,0.27,0.09,0.16,0.29,0.41,0.24,1.00,0.48,0.63,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.29,0.29,0.29,0.23,0.18,0.23,0.28,0.28,0.28,0.27,0.19,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.29,0.36,0.26,0.26,0.31,0.18,0.19,0.19,0.24,0.05,0.05,0.13
IX-IB,0.13,0.18,0.17,0.13,0.09,0.09,0.13,0.13,0.14,0.09,0.17,0.09,0.12,0.14,0.22,0.09,0.48,1.00,0.60,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.12,0.12,0.12,0.13,0.09,0.13,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.12,0.13,0.10,0.20,0.15,0.09,0.09,0.18,0.08,0.04,0.00,0.00
IX-IJ,0.22,0.27,0.26,0.23,0.18,0.18,0.22,0.22,0.28,0.17,0.27,0.04,0.12,0.24,0.40,0.24,0.63,0.60,1.00,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.24,0.23,0.18,0.23,0.27,0.27,0.27,0.26,0.23,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.31,0.20,0.26,0.25,0.18,0.18,0.23,0.20,0.05,0.05,0.08
KJ939976.1_1,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ939983.1_2,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939984.1_3,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939985.1_4,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939986.1_5,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939987.1_6,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ939988.1_7,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ939990.1_8,0.11,0.15,0.15,0.12,0.11,0.19,0.19,0.19,0.12,0.15,0.15,0.11,0.14,0.24,0.26,0.28,0.29,0.12,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,1.00,1.00,0.12,0.11,0.12,0.15,0.15,0.15,0.15,0.20,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,0.42,0.25,0.21,0.29,0.19,0.12,0.20,0.21,0.19,0.15,0.14
KJ939991.1_9,0.11,0.15,0.15,0.12,0.11,0.19,0.19,0.19,0.12,0.15,0.15,0.11,0.14,0.24,0.26,0.28,0.29,0.12,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,1.00,1.00,0.12,0.11,0.12,0.15,0.15,0.15,0.15,0.20,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,0.42,0.25,0.21,0.29,0.19,0.12,0.20,0.21,0.19,0.15,0.14
KJ939992.1_10,0.11,0.15,0.15,0.12,0.11,0.19,0.19,0.19,0.12,0.15,0.15,0.11,0.14,0.24,0.26,0.28,0.29,0.12,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,1.00,1.00,0.12,0.11,0.12,0.15,0.15,0.15,0.15,0.20,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,0.42,0.25,0.21,0.29,0.19,0.12,0.20,0.21,0.19,0.15,0.14
KJ939994.1_11,0.79,0.74,0.75,1.00,0.81,0.72,0.64,0.67,0.71,0.79,0.72,0.09,0.08,0.27,0.30,0.23,0.23,0.13,0.23,0.75,0.74,0.74,0.74,0.74,0.75,0.75,0.12,0.12,0.12,1.00,0.81,1.00,0.74,0.74,0.74,0.75,0.13,0.74,0.74,0.68,0.75,0.75,0.75,0.75,0.75,0.75,0.12,0.17,0.24,0.34,0.33,0.30,0.35,0.13,0.27,0.04,0.04,0.12
KJ939995.1_12,0.82,0.81,0.82,0.81,1.00,0.67,0.75,0.82,0.74,0.94,0.75,0.08,0.08,0.22,0.25,0.22,0.18,0.09,0.18,0.82,0.81,0.81,0.81,0.81,0.82,0.82,0.11,0.11,0.11,0.81,1.00,0.81,0.81,0.81,0.81,0.82,0.13,0.81,0.81,0.75,0.82,0.82,0.82,0.82,0.82,0.82,0.11,0.17,0.23,0.29,0.33,0.29,0.34,0.13,0.26,0.04,0.04,0.12
KJ939996.1_13,0.79,0.74,0.75,1.00,0.81,0.72,0.64,0.67,0.71,0.79,0.72,0.09,0.08,0.27,0.30,0.23,0.23,0.13,0.23,0.75,0.74,0.74,0.74,0.74,0.75,0.75,0.12,0.12,0.12,1.00,0.81,1.00,0.74,0.74,0.74,0.75,0.13,0.74,0.74,0.68,0.75,0.75,0.75,0.75,0.75,0.75,0.12,0.17,0.24,0.34,0.33,0.30,0.35,0.13,0.27,0.04,0.04,0.12
KJ939997.1_14,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939998.1_15,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ939999.1_16,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ940004.1_17,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940006.1_18,0.13,0.13,0.13,0.13,0.13,0.09,0.13,0.13,0.14,0.13,0.13,0.09,0.08,0.19,0.17,0.19,0.19,0.18,0.23,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.20,0.20,0.20,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.20,0.09,0.15,0.15,0.20,0.13,0.36,1.00,0.31,0.09,0.00,0.08
KJ940009.1_19,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ940011.1_20,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ940012.1_21,0.73,0.94,0.82,0.68,0.75,0.62,0.67,0.69,0.70,0.69,0.79,0.04,0.04,0.18,0.21,0.13,0.27,0.17,0.27,0.82,0.94,0.94,0.94,0.94,0.82,0.82,0.15,0.15,0.15,0.68,0.75,0.68,0.94,0.94,0.94,0.82,0.13,0.94,0.94,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.15,0.21,0.14,0.19,0.23,0.21,0.30,0.13,0.23,0.00,0.00,0.08
KJ940013.1_22,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940014.1_23,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940015.1_24,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940016.1_25,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940017.1_26,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
KJ940018.1_27,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
V-IC,0.11,0.15,0.15,0.12,0.11,0.19,0.19,0.19,0.12,0.15,0.15,0.11,0.14,0.24,0.26,0.28,0.29,0.12,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,1.00,1.00,0.12,0.11,0.12,0.15,0.15,0.15,0.15,0.20,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.00,0.42,0.25,0.21,0.29,0.19,0.12,0.20,0.21,0.19,0.15,0.14
VII-IA,0.20,0.21,0.20,0.17,0.17,0.25,0.21,0.20,0.22,0.16,0.21,0.08,0.11,0.27,0.25,0.31,0.36,0.13,0.31,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.42,0.42,0.42,0.17,0.17,0.17,0.21,0.21,0.21,0.20,0.09,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.42,1.00,0.23,0.24,0.33,0.29,0.17,0.09,0.19,0.17,0.17,0.16
X-IA,0.23,0.14,0.14,0.24,0.23,0.14,0.14,0.14,0.29,0.23,0.14,0.14,0.12,0.30,0.37,0.30,0.26,0.10,0.20,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.25,0.25,0.25,0.24,0.23,0.24,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.25,0.23,1.00,0.65,0.74,0.28,0.29,0.15,0.29,0.19,0.14,0.09
X-IC,0.28,0.20,0.19,0.34,0.29,0.14,0.19,0.19,0.30,0.28,0.19,0.14,0.13,0.31,0.43,0.31,0.26,0.20,0.26,0.19,0.20,0.20,0.20,0.20,0.19,0.19,0.21,0.21,0.21,0.34,0.29,0.34,0.20,0.20,0.20,0.19,0.15,0.20,0.20,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.21,0.24,0.65,1.00,0.65,0.33,0.20,0.15,0.26,0.15,0.15,0.09
X-IF,0.32,0.24,0.23,0.33,0.33,0.19,0.23,0.23,0.39,0.32,0.23,0.14,0.17,0.45,0.42,0.45,0.31,0.15,0.25,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.29,0.29,0.29,0.33,0.33,0.33,0.24,0.24,0.24,0.23,0.20,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.29,0.33,0.74,0.65,1.00,0.42,0.43,0.20,0.38,0.19,0.14,0.09
XI-ID,0.33,0.21,0.20,0.30,0.29,0.17,0.21,0.20,0.30,0.29,0.21,0.08,0.11,0.36,0.29,0.36,0.18,0.09,0.18,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.19,0.19,0.19,0.30,0.29,0.30,0.21,0.21,0.21,0.20,0.13,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.29,0.28,0.33,0.42,1.00,0.26,0.13,0.26,0.30,0.34,0.12
XII-I(B/C)B,0.33,0.30,0.29,0.35,0.34,0.26,0.30,0.29,0.36,0.33,0.30,0.13,0.08,0.32,0.26,0.32,0.19,0.09,0.18,0.29,0.30,0.30,0.30,0.30,0.29,0.29,0.12,0.12,0.12,0.35,0.34,0.35,0.30,0.30,0.30,0.29,0.36,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.29,0.29,0.12,0.17,0.29,0.20,0.43,0.26,1.00,0.36,0.50,0.09,0.04,0.08
XII-IA,0.13,0.13,0.13,0.13,0.13,0.09,0.13,0.13,0.14,0.13,0.13,0.09,0.08,0.19,0.17,0.19,0.19,0.18,0.23,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.20,0.20,0.20,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.20,0.09,0.15,0.15,0.20,0.13,0.36,1.00,0.31,0.09,0.00,0.08
