cpn60 UT,Strain,AluI Band Sizes,AluI Number of Bands,BfaI Band Sizes,BfaI Number of Bands,HinfI Band Sizes,HinfI Number of Bands,HpaI Band Sizes,HpaI Number of Bands,MseI Band Sizes,MseI Number of Bands,RsaI Band Sizes,RsaI Number of Bands,TaqI Band Sizes,TaqI Number of Bands
KJ940015.1_24,"KJ940015.1_24 'Linum usitatissimum' phytoplasma isolate BP0163_C01_SF-3_2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ940016.1_25,"KJ940016.1_25 'Linum usitatissimum' phytoplasma isolate SF-4_UT chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ940017.1_26,"KJ940017.1_26 'Thlaspi arvense' phytoplasma isolate TM1760_E11_SWR1-H280P chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ940018.1_27,"KJ940018.1_27 'Thlaspi arvense' phytoplasma isolate TM1760_F01_SWR2-H280P chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
V-IC,Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma (RS),"[13, 81, 66, 315, 77]",5,"[70, 482]",2,"[24, 235, 293]",3,[552],1,"[38, 9, 27, 15, 249, 41, 25, 9, 9, 21, 23, 34, 35, 17]",14,[552],1,"[362, 6, 184]",3
VII-IA,Candidatus Phytoplasma fraxini Ash yellows phytoplasma (AshY),"[13, 81, 66, 189, 203]",5,[552],1,"[24, 235, 293]",3,[552],1,"[59, 11, 4, 47, 172, 45, 66, 9, 87, 14, 21, 17]",12,[552],1,[552],1
X-IA,Candidatus Phytoplasma mali Apple proliferation phytoplasma (AP),"[13, 156, 383]",3,[552],1,"[24, 235, 219, 74]",4,"[339, 213]",2,"[38, 210, 90, 128, 70, 16]",6,[552],1,"[362, 190]",2
X-IC,Candidatus Phytoplasma pyri Peach yellow leaf roll phytoplasma (PYLR),"[13, 156, 383]",3,"[500, 52]",2,"[24, 235, 219, 74]",4,[552],1,"[248, 90, 128, 70, 16]",5,[552],1,"[158, 394]",2
X-IF,Candidatus Phytoplasma prunorum European stone fruit yellows phytoplasma (ESFY),"[13, 156, 383]",3,[552],1,"[24, 235, 219, 74]",4,[552],1,"[38, 210, 90, 41, 67, 20, 70, 16]",8,[552],1,[552],1
XI-ID,Candidatus Phytoplasma oryzae (SCWL),"[13, 539]",2,"[10, 375, 167]",3,"[24, 235, 219, 74]",4,[552],1,"[74, 14, 34, 126, 45, 153, 20, 42, 28, 16]",10,"[383, 121, 48]",3,[552],1
XII-I(B/C)B,Candidatus Phytoplasma australiense Strawberry lethal yellows phytoplasma (NZSb11),"[97, 363, 54, 38]",4,[552],1,"[24, 25, 210, 192, 27, 74]",6,[552],1,"[38, 210, 119, 79, 20, 57, 13, 16]",8,"[408, 144]",2,[552],1
XII-IA,Candidatus Phytoplasma solani Bois noir phytoplasma (BN44948),[552],1,"[70, 482]",2,"[24, 25, 210, 192, 52, 49]",6,[552],1,"[38, 36, 174, 119, 18, 151, 16]",7,"[293, 259]",2,"[86, 168, 298]",3
XIII-(A/I)I,Candidatus Phytoplasma sp. Mexican periwinkle virescence (MPV-S83),"[13, 104, 28, 27, 45, 258, 77]",7,[552],1,"[24, 235, 90, 102, 27, 74]",6,[552],1,"[38, 36, 174, 119, 79, 20, 57, 13, 16]",9,"[408, 123, 21]",3,"[86, 466]",2
XIV-IA,Candidatus Phytoplasma cynodontis Bermuda white leaf phytoplasma (AL85/11),"[13, 156, 207, 179]",4,[555],1,"[259, 222, 74]",3,[555],1,"[38, 36, 14, 34, 126, 221, 42, 6, 21, 17]",10,"[507, 48]",2,"[488, 67]",2
XIV-IC,Candidatus Phytoplasma cynodontis Bermuda white leaf phytoplasma (RS59/11),"[13, 156, 207, 179]",4,[555],1,"[242, 17, 222, 74]",4,[555],1,"[74, 14, 34, 126, 221, 42, 6, 21, 17]",9,"[507, 48]",2,"[488, 67]",2
XV-IB,Candidatus Phytoplasma brasiliense (PeruPBT),"[43, 69, 102, 58, 107, 176]",6,[555],1,"[24, 238, 93, 126, 74]",5,[555],1,"[62, 14, 48, 19, 108, 156, 18, 23, 21, 69, 17]",11,[555],1,"[419, 136]",2
